[DIAG] Server starting at 2026-06-22T00:41:16.467Z
[2026-06-22T00:41:41.640Z] REQ: GET /src/assets/landing/spaces/space-marketing.svg?import (original: /src/assets/landing/spaces/space-marketing.svg?import)
[2026-06-22T00:41:41.642Z] REQ: GET /src/assets/landing/spaces/space-build.svg?import (original: /src/assets/landing/spaces/space-build.svg?import)
[2026-06-22T00:41:41.644Z] REQ: GET /src/assets/landing/spaces/space-inventory.svg?import (original: /src/assets/landing/spaces/space-inventory.svg?import)
[2026-06-22T00:41:41.646Z] REQ: GET /src/components/MultiLocationBenefits.tsx (original: /src/components/MultiLocationBenefits.tsx)
[2026-06-22T00:41:41.648Z] REQ: GET /src/assets/landing/spaces/space-sales.svg?import (original: /src/assets/landing/spaces/space-sales.svg?import)
[2026-06-22T00:41:41.650Z] REQ: GET /src/assets/landing/spaces/space-operations.svg?import (original: /src/assets/landing/spaces/space-operations.svg?import)
[2026-06-22T00:41:41.652Z] REQ: GET /src/assets/landing/icons/icon-lumber-yards.svg?import (original: /src/assets/landing/icons/icon-lumber-yards.svg?import)
[2026-06-22T00:41:41.654Z] REQ: GET /src/assets/landing/icons/icon-multi-location.svg?import (original: /src/assets/landing/icons/icon-multi-location.svg?import)
[2026-06-22T00:41:41.656Z] REQ: GET /src/assets/landing/icons/icon-pro-desk.svg?import (original: /src/assets/landing/icons/icon-pro-desk.svg?import)
[2026-06-22T00:41:41.659Z] REQ: GET /src/components/MultiDeviceMockup.tsx (original: /src/components/MultiDeviceMockup.tsx)
[2026-06-22T00:41:41.660Z] REQ: GET /src/assets/landing/icons/icon-home-centers.svg?import (original: /src/assets/landing/icons/icon-home-centers.svg?import)
[2026-06-22T00:41:41.743Z] REQ: GET /src/assets/landing/spaces/info-hero-build.svg?import (original: /src/assets/landing/spaces/info-hero-build.svg?import)
[2026-06-22T00:41:41.744Z] REQ: GET /src/assets/landing/spaces/info-hero-sales.svg?import (original: /src/assets/landing/spaces/info-hero-sales.svg?import)
[2026-06-22T00:41:41.748Z] REQ: GET /src/assets/landing/spaces/info-hero-inventory.svg?import (original: /src/assets/landing/spaces/info-hero-inventory.svg?import)
[2026-06-22T00:41:41.792Z] REQ: GET /src/assets/landing/spaces/info-hero-marketing.svg?import (original: /src/assets/landing/spaces/info-hero-marketing.svg?import)
[2026-06-22T00:41:41.793Z] REQ: GET /src/assets/landing/spaces/info-hero-insights.svg?import (original: /src/assets/landing/spaces/info-hero-insights.svg?import)
[2026-06-22T00:41:41.795Z] REQ: GET /src/assets/landing/spaces/info-hero-it.svg?import (original: /src/assets/landing/spaces/info-hero-it.svg?import)
[2026-06-22T00:42:11.594Z] REQ: GET / (original: /)
[2026-06-22T00:42:11.739Z] REQ: GET /src/main.tsx?t=1782088931597 (original: /src/main.tsx?t=1782088931597)
[2026-06-22T00:42:11.750Z] REQ: GET /@vite/client (original: /@vite/client)
[2026-06-22T00:42:11.809Z] REQ: GET /@react-refresh (original: /@react-refresh)
[2026-06-22T00:42:11.857Z] REQ: GET /src/App.tsx (original: /src/App.tsx)
[2026-06-22T00:42:11.861Z] REQ: GET /src/index.css?t=1782088931597 (original: /src/index.css?t=1782088931597)
[2026-06-22T00:42:11.916Z] REQ: GET /node_modules/vite/dist/client/env.mjs (original: /node_modules/vite/dist/client/env.mjs)
[2026-06-22T00:42:11.996Z] REQ: GET /src/components/Navigation.tsx (original: /src/components/Navigation.tsx)
[2026-06-22T00:42:11.997Z] REQ: GET /src/components/BackgroundJobProcessor.tsx (original: /src/components/BackgroundJobProcessor.tsx)
[2026-06-22T00:42:12.000Z] REQ: GET /src/components/ChangePasswordDialog.tsx (original: /src/components/ChangePasswordDialog.tsx)
[2026-06-22T00:42:12.003Z] REQ: GET /src/components/ThemeProvider.tsx (original: /src/components/ThemeProvider.tsx)
[2026-06-22T00:42:12.006Z] REQ: GET /src/utils/email-preloader.ts (original: /src/utils/email-preloader.ts)
[2026-06-22T00:42:12.010Z] REQ: GET /src/components/OfflineIndicator.tsx (original: /src/components/OfflineIndicator.tsx)
[2026-06-22T00:42:12.013Z] REQ: GET /src/components/PWAInstallPrompt.tsx (original: /src/components/PWAInstallPrompt.tsx)
[2026-06-22T00:42:12.015Z] REQ: GET /src/components/DailyBriefingPopup.tsx (original: /src/components/DailyBriefingPopup.tsx)
[2026-06-22T00:42:12.017Z] REQ: GET /src/components/ui/sonner.tsx (original: /src/components/ui/sonner.tsx)
[2026-06-22T00:42:12.020Z] REQ: GET /src/components/ErrorBoundary.tsx (original: /src/components/ErrorBoundary.tsx)
[2026-06-22T00:42:12.023Z] REQ: GET /src/utils/themes.ts (original: /src/utils/themes.ts)
[2026-06-22T00:42:12.026Z] REQ: GET /src/utils/permissions.ts (original: /src/utils/permissions.ts)
[2026-06-22T00:42:12.030Z] REQ: GET /src/utils/supabase/client.ts (original: /src/utils/supabase/client.ts)
[2026-06-22T00:42:12.032Z] REQ: GET /src/utils/pwa.ts (original: /src/utils/pwa.ts)
[2026-06-22T00:42:12.034Z] REQ: GET /src/components/LogoBase64.ts (original: /src/components/LogoBase64.ts)
[2026-06-22T00:42:12.175Z] REQ: GET /src/components/ui/button.tsx (original: /src/components/ui/button.tsx)
[2026-06-22T00:42:12.184Z] REQ: GET /src/components/ui/avatar.tsx (original: /src/components/ui/avatar.tsx)
[2026-06-22T00:42:12.186Z] REQ: GET /src/components/ui/dropdown-menu.tsx (original: /src/components/ui/dropdown-menu.tsx)
[2026-06-22T00:42:12.188Z] REQ: GET /src/hooks/useUnreadEmails.ts (original: /src/hooks/useUnreadEmails.ts)
[2026-06-22T00:42:12.189Z] REQ: GET /src/components/Logo.tsx (original: /src/components/Logo.tsx)
[2026-06-22T00:42:12.189Z] REQ: GET /src/hooks/useAISuggestions.ts (original: /src/hooks/useAISuggestions.ts)
[2026-06-22T00:42:12.199Z] REQ: GET /src/hooks/useTaskNotifications.ts (original: /src/hooks/useTaskNotifications.ts)
[2026-06-22T00:42:12.200Z] REQ: GET /src/hooks/useBidNotifications.ts (original: /src/hooks/useBidNotifications.ts)
[2026-06-22T00:42:12.202Z] REQ: GET /src/hooks/useAppointmentNotifications.ts (original: /src/hooks/useAppointmentNotifications.ts)
[2026-06-22T00:42:12.205Z] REQ: GET /src/utils/api.ts (original: /src/utils/api.ts)
[2026-06-22T00:42:12.206Z] REQ: GET /src/components/ui/dialog.tsx (original: /src/components/ui/dialog.tsx)
[2026-06-22T00:42:12.208Z] REQ: GET /src/components/TrialCountdown.tsx (original: /src/components/TrialCountdown.tsx)
[2026-06-22T00:42:12.210Z] REQ: GET /src/utils/subscription-client.ts (original: /src/utils/subscription-client.ts)
[2026-06-22T00:42:12.211Z] REQ: GET /src/utils/server-headers.ts (original: /src/utils/server-headers.ts)
[2026-06-22T00:42:12.213Z] REQ: GET /src/components/ui/label.tsx (original: /src/components/ui/label.tsx)
